candidate_max_abs,candidate_mode,candidate_nonfinite,candidate_rms,elements,head_dim,iters,kv_len,kv_size,mask_mode,mask_size,max_abs_error,max_rel_error,mode,mode_flags,n_heads,n_kv_heads,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,reference_max_abs,reference_mode,reference_nonfinite,reference_rms,relative_l2,ret,rmse,scna_function,scna_kernel,scna_width,warmup
0.00283813,scna-fp16,0,0.00138485,6144,128,1,4093,2095616,causal,32768,0.00135776,74.4423,scna-fp16,1220,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.94965,0,0.000675135,exp,tree,16,1
0.0027504,scna-fp16,0,0.00134581,6144,128,1,4093,2095616,full,32768,0.00128091,82.7235,scna-fp16,1220,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.949081,0,0.000655928,exp,tree,16,1
0.00166702,scna-fp16,0,0.00066082,3072,64,1,4096,1048576,full,32768,0.000759364,50.8855,scna-fp16,1220,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.935333,0,0.000320467,exp,tree,16,1
0.00286102,scna-fp16,0,0.00142113,6144,128,1,4093,2095616,padding,32768,0.00136996,85.7134,scna-fp16,1220,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,0.950003,0,0.000692919,exp,tree,16,1
0.00292587,scna-fp16,0,0.00139277,6144,128,1,4093,2095616,causal,32768,0.00144931,40.1642,scna-fp16,1252,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.959532,0,0.000682161,exp,tree,32,1
0.00284576,scna-fp16,0,0.00135292,6144,128,1,4093,2095616,full,32768,0.00136474,46.5416,scna-fp16,1252,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.958055,0,0.00066213,exp,tree,32,1
0.0017395,scna-fp16,0,0.000670614,3072,64,1,4096,1048576,full,32768,0.000856079,78.8766,scna-fp16,1252,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.961584,0,0.000329461,exp,tree,32,1
0.00293732,scna-fp16,0,0.00143019,6144,128,1,4093,2095616,padding,32768,0.00146008,48.5505,scna-fp16,1252,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,0.961251,0,0.000701124,exp,tree,32,1
0.00278854,scna-fp16,0,0.0013836,6144,128,1,4093,2095616,causal,32768,0.00135807,121.512,scna-fp16,1236,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.951331,0,0.00067633,exp,tree,8,1
0.00266266,scna-fp16,0,0.00134422,6144,128,1,4093,2095616,full,32768,0.00127025,146.858,scna-fp16,1236,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.950372,0,0.00065682,exp,tree,8,1
0.00155258,scna-fp16,0,0.000655513,3072,64,1,4096,1048576,full,32768,0.000690441,127.318,scna-fp16,1236,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.929515,0,0.000318474,exp,tree,8,1
0.00278854,scna-fp16,0,0.00141999,6144,128,1,4093,2095616,padding,32768,0.00136951,150.783,scna-fp16,1236,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,0.951688,0,0.000694149,exp,tree,8,1
0.00411224,scna-int8,0,0.00146067,6144,128,1,4093,2095616,causal,32768,0.00260954,427.535,scna-int8,200,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.13886,0,0.000809648,exp,direct,16,1
0.00395203,scna-int8,0,0.00142642,6144,128,1,4093,2095616,full,32768,0.00251533,301.119,scna-int8,200,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.15207,0,0.00079622,exp,direct,16,1
0.00181198,scna-int8,0,0.000667586,3072,64,1,4096,1048576,full,32768,0.000955261,139.561,scna-int8,200,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.975256,0,0.000334145,exp,direct,16,1
0.00411224,scna-int8,0,0.0014934,6144,128,1,4093,2095616,padding,32768,0.00260954,1098.26,scna-int8,200,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.12848,0,0.000823102,exp,direct,16,1
0.00441742,scna-int8,0,0.00149378,6144,128,1,4093,2095616,causal,32768,0.00291472,526.919,scna-int8,232,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.23124,0,0.000875325,exp,direct,32,1
0.00427246,scna-int8,0,0.00146051,6144,128,1,4093,2095616,full,32768,0.00286628,423.483,scna-int8,232,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.24845,0,0.000862826,exp,direct,32,1
0.00196838,scna-int8,0,0.000672862,3072,64,1,4096,1048576,full,32768,0.00111166,194.636,scna-int8,232,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,1.00143,0,0.000343113,exp,direct,32,1
0.00441742,scna-int8,0,0.00152411,6144,128,1,4093,2095616,padding,32768,0.00291472,1329.05,scna-int8,232,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.21522,0,0.000886363,exp,direct,32,1
0.00351334,scna-int8,0,0.00140632,6144,128,1,4093,2095616,causal,32768,0.00201063,287.578,scna-int8,216,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.01734,0,0.000723255,exp,direct,8,1
